company,type,inches,cpu,gpu,op_sys,touch_screen,hd_category,ram,memory_SSD,memory_HDD,weight
HP,Notebook,15.6,Intel Core i5,Nvidia GeForce,Windows,0,HD,8,0,1024,2.04
HP,Notebook,13.3,Intel Core i5,Intel HD,Windows,0,FullHD,4,0,500,1.49
Apple,Ultrabook,12.0,Intel Core i5,Intel HD,Other,0,FullHD,8,512,0,0.92
HP,Notebook,15.6,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,8,0,1024,2.04
HP,Notebook,15.6,Intel Pentium,Intel HD,Windows,0,HD,8,0,2048,2.04
MSI,Gaming,17.3,Intel Core i7,Nvidia GeForce GTX,Windows,0,UHD,16,512,2048,2.43
Other,Notebook,15.6,Other,Intel HD,Windows,0,FullHD,4,0,0,1.89
Lenovo,Ultrabook,14.0,Intel Core i7,Intel HD,Windows,0,FullHD,12,512,0,1.4
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,HD,8,128,0,1.91
Dell,Notebook,15.6,Intel Core i5,Intel HD,Linux,0,HD,4,0,500,2.09
Other,Ultrabook,12.3,Intel Core i7,Intel HD,Other,1,FullHD,16,512,0,1.1
Lenovo,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.75
HP,Notebook,15.6,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.84
Lenovo,Notebook,15.6,Intel Core i3,Intel HD,No OS,0,FullHD,4,256,0,2.2
Asus,Ultrabook,14.0,Intel Core i5,Intel HD,Windows,0,FullHD,8,256,0,1.1
Dell,Notebook,15.6,Intel Core i7,Nvidia GeForce GTX,Windows,1,UHD,16,512,0,2.06
MSI,Gaming,17.3,Intel Core i5,Nvidia GeForce GTX,Windows,0,FullHD,8,128,1024,2.7
Lenovo,Notebook,14.0,Intel Core i5,Intel HD,Windows,0,HD,4,0,500,2.02
Asus,Ultrabook,14.0,Intel Core i7,Nvidia GeForce,Windows,0,FullHD,8,256,0,1.3
Dell,Notebook,14.0,Intel Core i5,Nvidia GeForce,Windows,0,FullHD,8,256,0,1.64
